Id,Jti,UserId,RevokedAt,ExpiresAt
1,0a62f18f-9a30-4173-a56d-4dcacef5329e,1,2026-07-28T00:24:51.5144398Z,2026-08-04T01:23:28.0000000Z
2,341311f8-44f7-4a03-8ce2-b60655eabec3,1,2026-07-28T02:00:03.2656431Z,2026-08-04T01:59:10.0000000Z
3,6e76a315-2002-4129-9013-52817dad8b80,2,2026-07-31T05:25:59.2700072Z,2026-08-07T05:27:06.0000000Z
4,0154a1b3-cd92-4139-a44d-9371ebc371c1,1,2026-07-31T05:28:56.2524717Z,2026-08-07T05:30:38.0000000Z
5,9dadaa30-ef08-44b0-af02-1e4a3600e221,17,2026-07-31T05:30:23.6420918Z,2026-08-07T05:31:19.0000000Z
6,1ce308bc-5821-4579-8a6b-55fd357a9b5c,1,2026-07-31T05:31:27.0980260Z,2026-08-07T05:32:37.0000000Z
7,d9f7115d-1e82-4839-91c9-2c238e6d6dcb,1,2026-07-31T07:53:15.6187404Z,2026-08-07T07:54:05.0000000Z
8,a0741377-7b67-4966-bee5-8fa9d43ef8f1,18,2026-07-31T09:27:04.1683083Z,2026-08-07T09:28:50.0000000Z
9,4eee429c-e525-4fe1-8b26-b8fd2556416c,18,2026-07-31T09:39:05.2221941Z,2026-08-07T09:39:28.0000000Z
10,d26c67d7-e525-4b57-8b23-0f917e230d96,1,2026-07-31T09:40:00.7610674Z,2026-08-07T09:41:21.0000000Z
11,0dff4c5d-d642-410e-82ab-0c62a82cc084,1,2026-08-01T02:04:17.5353369Z,2026-08-08T02:34:08.0000000Z
12,bd0e73bb-1ed9-43e9-81f6-85be77f81427,1,2026-08-01T02:38:37.1218175Z,2026-08-08T03:08:20.0000000Z
13,bd0e73bb-1ed9-43e9-81f6-85be77f81427,1,2026-08-01T02:39:14.1188699Z,2026-08-08T03:08:20.0000000Z
